code,name,alpha,neg_days,avg_amount
600033.SH,福建高速,1.3976589980301877e-09,12,84275569.2405
600750.SH,华润江中,1.3888054577126135e-09,8,119255037.93900001
600582.SH,天地科技,1.3862237373385428e-09,14,162541629.48900002
600480.SH,凌云股份,1.3784460423369609e-09,12,260149814.42000002
600313.SH,农发种业,1.3650859827404067e-09,12,146915461.04650003
600820.SH,隧道股份,1.3644567365085712e-09,12,107496922.841
600095.SH,湘财股份,1.3582204402367608e-09,13,212736521.18600002
600133.SH,东湖高新,1.3577643372880567e-09,13,178242734.6455
600859.SH,王府井,1.3541646613189888e-09,12,184538105.2725
600382.SH,广东明珠,1.3511161513663746e-09,12,298030179.43600005
600222.SH,太龙药业,1.3478919427165922e-09,10,228082967.54300004
600062.SH,华润双鹤,1.344035897606102e-09,11,91141876.2625
600623.SH,华谊集团,1.339718797752422e-09,10,165648489.14850003
600446.SH,金证股份,1.3390320022555833e-09,11,278191681.369
600329.SH,达仁堂,1.3352883735959762e-09,13,142953323.2245
600727.SH,鲁北化工,1.3248479048226592e-09,12,267430492.05900002
600611.SH,大众交通,1.314270658966383e-09,14,462951276.729
600268.SH,国电南自,1.3086086909752255e-09,14,234943846.15449995
600808.SH,马钢股份,1.306618884629263e-09,12,176569686.25550002
600131.SH,国网信通,1.299417130751697e-09,13,208566453.79599997
600207.SH,安彩高科,1.2990836473439571e-09,12,453253690.8655
600130.SH,波导股份,1.2835943850484654e-09,10,185028438.12550002
600395.SH,盘江股份,1.2831260875680018e-09,12,301528983.06949997
600816.SH,建元信托,1.2806391196963815e-09,11,201882534.46350002
601187.SH,厦门银行,1.2758212246812902e-09,9,156427969.90100002
600216.SH,浙江医药,1.2698357607259382e-09,12,175466587.06999996
600132.SH,重庆啤酒,1.2608531244352228e-09,15,259549140.20450002
600490.SH,鹏欣资源,1.249316001564075e-09,11,314632027.6975001
600982.SH,宁波能源,1.2430359345543429e-09,11,421442576.81500006
600380.SH,健康元,1.2362149311230872e-09,11,118260297.88250001
600664.SH,哈药股份,1.2333232869742017e-09,10,135912633.948
600633.SH,浙数文化,1.2274480729043606e-09,11,235820587.72399998
601238.SH,广汽集团,1.218310908288508e-09,12,130484443.74900003
600163.SH,中闽能源,1.201296860502812e-09,12,442863013.867
600210.SH,紫江企业,1.1981149352495342e-09,10,91238278.916
601990.SH,南京证券,1.1931484488940137e-09,14,143667256.2145
600390.SH,五矿资本,1.1927323951959743e-09,11,158516326.472
601000.SH,唐山港,1.1923306951649957e-09,8,181128206.719
600403.SH,大有能源,1.1682155738063372e-09,9,719293957.8395
