date,open,close,high,low,change_pct,turnover_pct,amplitude_pct,ratio,vol_shou,amount_yuan,direction,price_position
2025-11-17,78.44,81.1,83.0,78.4,2.09,3.14,5.79,1.5023923444976077,127589.0,1029005626.0,上涨,1.6286773404842636
2025-11-18,80.31,81.2,83.46,78.62,0.12,3.65,5.97,30.416666666666668,148379.0,1202668366.0,上涨,1.6483949838315324
2025-11-18,80.31,81.2,83.46,78.62,0.12,3.65,5.97,30.416666666666668,148379.0,1202668366.0,上涨,1.6483949838315324
2025-11-19,81.44,83.68,86.5,80.18,3.05,5.11,7.78,1.675409836065574,207697.0,1733886202.0,上涨,2.1373925388437582
2025-11-19,81.44,83.68,86.5,80.18,3.05,5.11,7.78,1.675409836065574,207697.0,1733886202.0,上涨,2.1373925388437582
2025-11-20,86.0,78.41,86.58,78.0,-6.3,4.1,10.25,0.6507936507936507,166592.0,1339632380.0,下跌,1.098272734442778
2025-11-20,86.0,78.41,86.58,78.0,-6.3,4.1,10.25,0.6507936507936507,166592.0,1339632380.0,下跌,1.098272734442778
2025-11-21,74.0,72.84,74.94,72.28,-7.1,2.67,3.39,0.376056338028169,108488.0,797925562.0,下跌,0.0
2025-11-21,74.0,72.84,74.94,72.28,-7.1,2.67,3.39,0.376056338028169,108488.0,797925562.0,下跌,0.0
2025-11-24,74.2,73.64,75.42,72.7,1.1,2.05,3.73,1.8636363636363633,83486.0,615453250.0,上涨,0.15774114677813653
2025-11-24,74.2,73.64,75.42,72.7,1.1,2.05,3.73,1.8636363636363633,83486.0,615453250.0,上涨,0.15774114677813653
2025-11-25,74.96,81.0,81.0,74.61,9.99,2.33,8.68,0.23323323323323322,94534.0,743367604.0,上涨,1.6089596971369975
2025-11-25,74.96,81.0,81.0,74.61,9.99,2.33,8.68,0.23323323323323322,94534.0,743367604.0,上涨,1.6089596971369975
2025-11-26,83.0,85.64,89.1,82.33,5.73,7.49,8.36,1.307155322862129,304203.0,2596842901.0,上涨,2.523858348450193
2025-11-26,83.0,85.64,89.1,82.33,5.73,7.49,8.36,1.307155322862129,304203.0,2596842901.0,上涨,2.523858348450193
