A股全量股票涨跌幅排行榜
基准日期: 2026-06-25  截止日期: 2026-07-14  生成时间: 2026-07-14 09:14:06
有效股票数: 5,194  上涨: 1,402  下跌: 3,769  中位数: -5.77%  平均: -6.45%
最大涨幅: +127.43%  最大跌幅: -54.61%

+-------+---------+-------------+---------------+-----------+-----------+-----------+-----------+---------+---------+-------+-------+------+---------+
|  排名  |   代码   |     名称     |      行业      |   总市值   |  基准日价  |   当前价   |   涨跌幅   |  前导天  |  天数比  |  风险  |  机会  | 象限  |    PE    |
|    106 |  300227  | 光韵达       | 未知           |       41亿 |      13.55 |       8.99 |    -33.65% |        8 |     0.7x |     42 |     67 |   G   |     亏损 |
|    107 |  601869  | 长飞光纤     | 未知           |     1552亿 |     575.00 |     381.87 |    -33.59% |       16 |     1.3x |     50 |     66 |   G   |    273.2 |
|    108 |  301338  | 凯格精机     | 未知           |      125亿 |     172.65 |     114.73 |    -33.55% |       40 |     3.3x |     57 |     56 |   Y   |     78.2 |
|    109 |  688275  | 万润新能     | 未知           |      114亿 |     135.63 |      90.18 |    -33.51% |       72 |     6.0x |     68 |     40 |   R   |    115.5 |
|    110 |  002068  | 黑猫股份     | 未知           |       73亿 |      14.83 |       9.87 |    -33.45% |        4 |     0.3x |     36 |     62 |   G   |     亏损 |
|    111 |  600152  | 维科技术     | 未知           |       42亿 |      11.81 |       7.86 |    -33.45% |       81 |     6.8x |     64 |     56 |   Y   |     亏损 |
|    112 |  688625  | 呈和科技     | 未知           |      164亿 |      94.70 |      63.12 |    -33.35% |       17 |     1.4x |     50 |     66 |   G   |     55.6 |
|    113 |  002254  | 泰和新材     | 未知           |      114亿 |      20.17 |      13.46 |    -33.27% |       14 |     1.2x |     50 |     78 |   G   |    246.6 |
|    114 |  300120  | 经纬辉开     | 未知           |       39亿 |      11.02 |       7.36 |    -33.21% |       13 |     1.1x |     50 |     78 |   G   |     亏损 |
|    115 |  002217  | ST合力泰     | 未知           |      106亿 |       2.17 |       1.45 |    -33.18% |       28 |     2.3x |     67 |     45 |   R   |    557.1 |
|    116 |  300304  | 云意电气     | 未知           |      111亿 |      19.35 |      12.94 |    -33.13% |       17 |     1.4x |     50 |     78 |   G   |     25.8 |
|    117 |  002735  | 王子新材     | 未知           |       32亿 |      16.88 |      11.33 |    -32.88% |     >237 |    19.8x |     70 |     58 |   Y   |     亏损 |
|    118 |  300672  | 国科微       | 未知           |      435亿 |     308.35 |     206.95 |    -32.88% |       33 |     2.8x |     57 |     50 |   Y   |     亏损 |
|    119 |  300031  | 宝通科技     | 未知           |       72亿 |      30.68 |      20.60 |    -32.86% |       29 |     2.4x |     57 |     50 |   Y   |     32.8 |
|    120 |  600063  | 皖维高新     | 未知           |      115亿 |       8.28 |       5.56 |    -32.85% |       24 |     2.0x |     53 |     66 |   Y   |     25.4 |
|    121 |  003031  | 中瓷电子     | 未知           |      447亿 |     195.57 |     131.40 |    -32.81% |        8 |     0.7x |     42 |     66 |   G   |     93.6 |
|    122 |  688456  | 有研粉材     | 未知           |      103亿 |     148.18 |      99.64 |    -32.76% |       11 |     0.9x |     42 |     78 |   G   |    114.9 |
|    123 |  301086  | 鸿富瀚       | 未知           |       94亿 |     213.77 |     143.88 |    -32.69% |        9 |     0.8x |     42 |     66 |   G   |    148.9 |
|    124 |  002709  | 天赐材料     | 未知           |      561亿 |      55.20 |      37.19 |    -32.63% |       65 |     5.4x |     64 |     50 |   Y   |     26.4 |
|    125 |  301238  | 瑞泰新材     | 未知           |      118亿 |      23.87 |      16.09 |    -32.59% |      215 |    17.9x |     64 |     50 |   Y   |     36.6 |
|    126 |  600226  | 亨通股份     | 未知           |      225亿 |      11.20 |       7.55 |    -32.59% |        7 |     0.6x |     42 |     67 |   G   |    110.8 |
|    127 |  300390  | 天华新能     | 未知           |      431亿 |      94.98 |      64.06 |    -32.55% |       50 |     4.2x |     68 |     40 |   R   |     40.6 |
|    128 |  301313  | 凡拓数创     | 未知           |       29亿 |      54.20 |      36.67 |    -32.34% |       28 |     2.3x |     57 |     62 |   Y   |     亏损 |
|    129 |  600184  | 光电股份     | 未知           |      115亿 |      29.17 |      19.76 |    -32.26% |       36 |     3.0x |     57 |     62 |   Y   |    224.7 |
|    130 |  605566  | 福莱蒽特     | 未知           |       36亿 |      39.43 |      26.71 |    -32.26% |       54 |     4.5x |     67 |     56 |   Y   |     63.4 |
