time,equity,cash,position,price,unfinished_abs,occupied
2026-05-28T14:15:00,177592.2245,177592.2245,0,369.82,200,77702.0
2026-05-28T14:16:00,177592.2245,177592.2245,0,370.01,200,77702.0
2026-05-28T14:17:00,177592.2245,177592.2245,0,370.1,200,77702.0
2026-05-28T14:18:00,177592.2245,177592.2245,0,369.95,200,77702.0
2026-05-28T14:19:00,177592.2245,177592.2245,0,370.5,200,77702.0
2026-05-28T14:20:00,177592.2245,177592.2245,0,370.88,200,77702.0
2026-05-28T14:21:00,177592.2245,177592.2245,0,371.0,200,77702.0
2026-05-28T14:22:00,177592.2245,177592.2245,0,371.0,200,77702.0
2026-05-28T14:23:00,177592.2245,177592.2245,0,371.5,200,77702.0
2026-05-28T14:24:00,177592.2245,177592.2245,0,371.49,200,77702.0
2026-05-28T14:25:00,177592.2245,177592.2245,0,371.54,200,77702.0
2026-05-28T14:26:00,177592.2245,177592.2245,0,372.52,200,77702.0
2026-05-28T14:27:00,177592.2245,177592.2245,0,372.59,200,77702.0
2026-05-28T14:28:00,177592.2245,177592.2245,0,372.39,200,77702.0
2026-05-28T14:29:00,177592.2245,177592.2245,0,371.99,200,77702.0
2026-05-28T14:30:00,177592.2245,177592.2245,0,372.44,200,77702.0
2026-05-28T14:31:00,177592.2245,177592.2245,0,371.97,200,77702.0
2026-05-28T14:32:00,177592.2245,177592.2245,0,372.39,200,77702.0
2026-05-28T14:33:00,177592.2245,177592.2245,0,372.3,200,77702.0
2026-05-28T14:34:00,177592.2245,177592.2245,0,372.4,200,77702.0
2026-05-28T14:35:00,177592.2245,177592.2245,0,372.97,200,77702.0
2026-05-28T14:36:00,177592.2245,177592.2245,0,372.98,200,77702.0
2026-05-28T14:37:00,177592.2245,177592.2245,0,372.28,200,77702.0
2026-05-28T14:38:00,177592.2245,177592.2245,0,371.96,200,77702.0
2026-05-28T14:39:00,177592.2245,177592.2245,0,371.41,200,77702.0
2026-05-28T14:40:00,177592.2245,177592.2245,0,371.07,200,77702.0
2026-05-28T14:41:00,177592.2245,177592.2245,0,371.88,200,77702.0
2026-05-28T14:42:00,177592.2245,177592.2245,0,371.75,200,77702.0
2026-05-28T14:43:00,177592.2245,177592.2245,0,371.65,200,77702.0
2026-05-28T14:44:00,177592.2245,177592.2245,0,371.96,200,77702.0
2026-05-28T14:45:00,177592.2245,177592.2245,0,371.52,200,77702.0
2026-05-28T14:46:00,177592.2245,177592.2245,0,371.02,200,77702.0
2026-05-28T14:47:00,177592.2245,177592.2245,0,370.91,200,77702.0
2026-05-28T14:48:00,177592.2245,177592.2245,0,371.6,200,77702.0
2026-05-28T14:49:00,177592.2245,177592.2245,0,371.22,200,77702.0
2026-05-28T14:50:00,177592.2245,177592.2245,0,371.4,200,77702.0
2026-05-28T14:51:00,177592.2245,177592.2245,0,371.31,200,77702.0
2026-05-28T14:52:00,177592.2245,177592.2245,0,370.9,200,77702.0
2026-05-28T14:53:00,177592.2245,177592.2245,0,370.78,200,77702.0
2026-05-28T14:54:00,177592.2245,177592.2245,0,370.65,200,77702.0
2026-05-28T14:55:00,177592.2245,177592.2245,0,370.65,200,77702.0
2026-05-28T14:56:00,177592.2245,177592.2245,0,370.63,200,77702.0
2026-05-28T14:57:00,177592.2245,177592.2245,0,370.55,200,77702.0
2026-05-28T14:58:00,177592.2245,177592.2245,0,370.55,200,77702.0
2026-05-28T14:59:00,177592.2245,177592.2245,0,370.55,200,77702.0
2026-05-28T15:00:00,177592.2245,177592.2245,0,370.55,200,77702.0
2026-05-29T09:31:00,177592.2245,177592.2245,0,368.0,200,77702.0
2026-05-29T09:32:00,177592.2245,177592.2245,0,369.5,200,77702.0
2026-05-29T09:33:00,177592.2245,177592.2245,0,370.34,200,77702.0
2026-05-29T09:34:00,177592.2245,177592.2245,0,371.51,200,77702.0
2026-05-29T09:35:00,177592.2245,177592.2245,0,375.0,200,77702.0
2026-05-29T09:36:00,177592.2245,177592.2245,0,376.55,200,77702.0
2026-05-29T09:37:00,177592.2245,177592.2245,0,371.94,200,77702.0
2026-05-29T09:38:00,177592.2245,177592.2245,0,373.16,200,77702.0
2026-05-29T09:39:00,177592.2245,177592.2245,0,374.03,200,77702.0
2026-05-29T09:40:00,177592.2245,177592.2245,0,370.6,200,77702.0
2026-05-29T09:41:00,177592.2245,177592.2245,0,370.3,200,77702.0
2026-05-29T09:42:00,177592.2245,177592.2245,0,371.75,200,77702.0
2026-05-29T09:43:00,177592.2245,177592.2245,0,374.5,200,77702.0
2026-05-29T09:44:00,177592.2245,177592.2245,0,373.99,200,77702.0
2026-05-29T09:45:00,177592.2245,177592.2245,0,373.33,200,77702.0
2026-05-29T09:46:00,177592.2245,177592.2245,0,372.5,200,77702.0
2026-05-29T09:47:00,177592.2245,177592.2245,0,371.76,200,77702.0
2026-05-29T09:48:00,177592.2245,177592.2245,0,372.9,200,77702.0
2026-05-29T09:49:00,177592.2245,177592.2245,0,371.6,200,77702.0
2026-05-29T09:50:00,177592.2245,177592.2245,0,370.2,200,77702.0
2026-05-29T09:51:00,177592.2245,177592.2245,0,370.67,200,77702.0
2026-05-29T09:52:00,177592.2245,177592.2245,0,371.53,200,77702.0
2026-05-29T09:53:00,177592.2245,177592.2245,0,369.88,200,77702.0
2026-05-29T09:54:00,177592.2245,177592.2245,0,369.91,200,77702.0
2026-05-29T09:55:00,177592.2245,177592.2245,0,367.4,200,77702.0
2026-05-29T09:56:00,177592.2245,177592.2245,0,369.34,200,77702.0
2026-05-29T09:57:00,177592.2245,177592.2245,0,368.39,200,77702.0
2026-05-29T09:58:00,177592.2245,177592.2245,0,368.0,200,77702.0
2026-05-29T09:59:00,177592.2245,177592.2245,0,367.86,200,77702.0
2026-05-29T10:00:00,177592.2245,177592.2245,0,366.61,200,77702.0
2026-05-29T10:01:00,177592.2245,177592.2245,0,368.0,200,77702.0
2026-05-29T10:02:00,177592.2245,177592.2245,0,366.5,200,77702.0
2026-05-29T10:03:00,177592.2245,177592.2245,0,367.0,200,77702.0
2026-05-29T10:04:00,177592.2245,177592.2245,0,368.99,200,77702.0
2026-05-29T10:05:00,177592.2245,177592.2245,0,371.0,200,77702.0
2026-05-29T10:06:00,177592.2245,177592.2245,0,368.36,200,77702.0
2026-05-29T10:07:00,177592.2245,177592.2245,0,369.0,200,77702.0
2026-05-29T10:08:00,177592.2245,177592.2245,0,367.0,200,77702.0
2026-05-29T10:09:00,177592.2245,177592.2245,0,367.56,200,77702.0
2026-05-29T10:10:00,177592.2245,177592.2245,0,367.42,200,77702.0
2026-05-29T10:11:00,177592.2245,177592.2245,0,366.18,200,77702.0
2026-05-29T10:12:00,177592.2245,177592.2245,0,365.33,200,77702.0
2026-05-29T10:13:00,177592.2245,177592.2245,0,367.08,200,77702.0
2026-05-29T10:14:00,177592.2245,177592.2245,0,369.49,200,77702.0
