code,name,buy_date,buy_time,buy_price,sell_date,sell_time,sell_price,shares,exit_reason,screen_ma5,screen_ma20,screen_atr14,screen_pullback_atr,screen_atr_percent,buy_commission,sell_commission,stamp_tax,net_pnl,return_pct
300570.SZ,太辰光,20260520,09:41:00,151.8859,20260521,09:31:00,161.2578,100,SELLBACK,164.962,151.2185,13.985714,0.926803,9.069854,5.0,5.0,16.12578,911.06422,5.996372285944269
300620.SZ,光库科技,20260520,09:41:00,263.1715,20260521,09:31:00,274.987,100,SELLBACK,276.09,257.1015,19.037143,0.531067,7.052622,6.579287,6.874675,27.4987,1140.597338,4.3329625735880075
300857.SZ,协创数据,20260520,09:41:00,269.6247,20260521,10:00:00,275.0024,100,FORCE_1000,281.124,265.336071,20.556429,0.638438,7.5997,6.740618,6.87506,27.50024,496.654083,1.8415595845349921
002203.SZ,海亮股份,20260520,09:42:00,19.7018,20260521,09:31:00,20.8307,100,SELLBACK,21.478,19.5405,1.439286,0.886551,7.05809,5.0,5.0,2.08307,100.80693,5.103683208618961
301526.SZ,国际复材,20260520,09:43:00,18.1291,20260521,09:31:00,19.1313,100,SELLBACK,19.086,16.9075,1.750714,0.4204,9.372132,5.0,5.0,1.91313,88.30687,4.85760406180724
600105.SH,永鼎股份,20260520,09:43:00,49.7699,20260521,09:31:00,51.268,100,SELLBACK,51.853,47.5265,3.610714,0.503501,7.156306,5.0,5.0,5.1268,134.6832,2.703401652753217
601016.SH,节能风电,20260520,09:43:00,4.8895,20260521,10:00:00,4.6647,100,FORCE_1000,5.17305,4.71005,0.427857,0.38798,8.345094,5.0,5.0,0.46647,-32.94647,-6.6700010122482025
688313.SH,仕佳光子,20260520,10:18:00,180.7303,20260521,09:31:00,187.4185,100,SELLBACK,176.604,154.6895,13.823571,0.452416,7.990042,5.0,5.0,18.74185,640.07815,3.5406410432995195
601991.SH,大唐发电,20260521,09:34:00,7.0605,20260522,10:00:00,6.7036,100,FORCE_1000,7.701,5.4735,0.58,1.541379,7.788371,5.0,5.0,0.67036,-46.36036,-6.519985936291399
300570.SZ,太辰光,20260521,09:42:00,154.087,20260522,10:00:00,151.6541,100,FORCE_1000,161.516,152.2125,13.690714,0.36638,8.551352,5.0,5.0,15.16541,-268.45541,-1.741667542510883
300475.SZ,香农芯创,20260521,09:43:00,184.7201,20260522,10:00:00,182.2966,100,FORCE_1000,192.023823,179.677823,13.820714,0.531521,7.417817,5.0,5.0,18.22966,-270.57966,-1.4644125862355433
300620.SZ,光库科技,20260521,09:43:00,262.6312,20260522,09:32:00,265.4514,100,SELLBACK,274.614,257.995,19.154286,0.469033,7.107342,6.56578,6.636285,26.54514,242.272795,0.92225235211778
600105.SH,永鼎股份,20260521,09:43:00,48.059,20260522,10:00:00,47.3313,100,FORCE_1000,51.613,47.993,3.578571,0.558323,7.07018,5.0,5.0,4.73313,-87.50313,-1.818851566235008
688313.SH,仕佳光子,20260521,09:43:00,173.3766,20260522,09:33:00,175.8958,100,SELLBACK,177.652,157.645,14.157857,0.51505,7.669478,5.0,5.0,17.58958,224.33042,1.2935179493803142
301526.SZ,国际复材,20260521,14:07:00,18.2591,20260522,09:31:00,18.622,100,SELLBACK,18.778,17.1465,1.77,0.332203,9.434968,5.0,5.0,1.8622,24.4278,1.3341890098366387
002203.SZ,海亮股份,20260521,14:17:00,20.1221,20260522,09:49:00,20.3415,100,SELLBACK,21.01,19.7055,1.456429,0.458656,7.083108,5.0,5.0,2.03415,9.90585,0.4910668695872021
688200.SH,华峰测控,20260522,13:09:00,280.4307,20260525,09:31:00,294.0247,100,SELLBACK,292.155405,245.186149,23.502896,0.581584,8.074159,7.010768,7.350618,29.40247,1315.636145,4.690311432273489
601991.SH,大唐发电,20260522,14:05:00,6.8108,20260525,09:35:00,6.9665,100,SELLBACK,7.671,5.628,0.64,1.240625,9.199368,5.0,5.0,0.69665,4.87335,0.7103180387126866
002281.SZ,光迅科技,20260525,09:35:00,206.7633,20260526,09:31:00,218.2722,100,SELLBACK,222.072,176.888,17.932143,0.505907,8.306918,5.169083,5.456805,21.82722,1118.436893,5.407910173911834
301611.SZ,珂玛科技,20260525,09:35:00,113.4867,20260526,10:00:00,105.917,100,FORCE_1000,119.904,113.3245,8.589286,0.693189,7.345037,5.0,5.0,10.5917,-777.5617,-6.848549411776104
