code,name,screen_date,buy_date,buy_time,buy_price,sell_date,sell_time,sell_price,shares,exit_reason,buy_commission,sell_commission,stamp_tax,net_pnl,return_pct
300136.SZ,信维通信,20260129,20260130,13:16:00,82.5613,20260202,09:31:00,83.9739,100,SELLBACK,5.0,5.0,8.39739,122.86261,1.4872373392017797
601179.SH,中国西电,20260129,20260130,13:16:00,14.3661,20260202,09:31:00,15.283,100,SELLBACK,5.0,5.0,1.5283,80.1617,5.560567698614744
603179.SH,新泉股份,20260129,20260130,13:16:00,62.0239,20260202,10:00:00,61.9619,100,FORCE_1000,5.0,5.0,6.19619,-22.39619,-0.36079882204920266
688599.SH,天合光能,20260129,20260130,13:19:00,18.8056,20260202,09:31:00,19.1712,100,SELLBACK,5.0,5.0,1.91712,24.64288,1.3069263242750164
000987.SZ,越秀资本,20260129,20260130,13:24:00,10.105,20260202,09:37:00,10.2945,100,SELLBACK,5.0,5.0,1.02945,7.92055,0.7799655342195964
688002.SH,睿创微纳,20260129,20260130,13:24:00,112.066,20260202,09:33:00,113.2799,100,SELLBACK,5.0,5.0,11.32799,100.06201,0.8924864426130078
000629.SZ,钒钛股份,20260130,20260202,09:34:00,3.7919,20260203,10:00:00,3.6282,100,FORCE_1000,5.0,5.0,0.36282,-26.73282,-6.958229001275411
000830.SZ,鲁西化工,20260130,20260202,09:34:00,18.4292,20260203,10:00:00,17.1114,100,FORCE_1000,5.0,5.0,1.71114,-143.49114,-7.765008225464305
000960.SZ,锡业股份,20260130,20260202,09:34:00,36.7484,20260203,10:00:00,36.5917,100,FORCE_1000,5.0,5.0,3.65917,-29.32917,-0.79702296838993
002064.SZ,华峰化学,20260130,20260202,09:34:00,12.4062,20260203,10:00:00,11.4743,100,FORCE_1000,5.0,5.0,1.14743,-104.33743,-8.37634511327692
002851.SZ,麦格米特,20260130,20260202,09:46:00,126.9329,20260203,10:00:00,120.8895,100,FORCE_1000,5.0,5.0,12.08895,-626.42895,-4.933175648059699
002429.SZ,兆驰股份,20260130,20260202,10:08:00,9.4977,20260203,09:38:00,9.5986,100,SELLBACK,5.0,5.0,0.95986,-0.86986,-0.09110675869581156
300136.SZ,信维通信,20260130,20260202,10:08:00,83.2916,20260203,10:00:00,82.6087,100,FORCE_1000,5.0,5.0,8.26087,-86.55087,-1.0385074200639297
601216.SH,君正集团,20260130,20260202,10:08:00,5.4227,20260203,10:00:00,5.1974,100,FORCE_1000,5.0,5.0,0.51974,-33.04974,-6.039019131324575
300058.SZ,蓝色光标,20260202,20260203,14:42:00,21.8809,20260204,10:00:00,20.4398,100,FORCE_1000,5.0,5.0,2.04398,-156.15398,-7.120272309845924
688777.SH,中控技术,20260210,20260211,09:41:00,84.1536,20260212,10:00:00,83.6981,100,FORCE_1000,5.0,5.0,8.36981,-63.91981,-0.7591101805623511
001386.SZ,马可波罗,20260210,20260211,09:47:00,24.6861,20260212,10:00:00,24.2978,100,FORCE_1000,5.0,5.0,2.42978,-51.25978,-2.072266040321635
601615.SH,明阳智能,20260210,20260211,09:52:00,23.987,20260212,10:00:00,23.2734,100,FORCE_1000,5.0,5.0,2.32734,-83.68734,-3.481605025585556
300724.SZ,捷佳伟创,20260210,20260211,10:03:00,126.7422,20260212,10:00:00,126.4368,100,FORCE_1000,5.0,5.0,12.64368,-53.18368,-0.4194554554617713
603920.SH,世运电路,20260210,20260211,10:04:00,64.2621,20260212,10:00:00,64.018,100,FORCE_1000,5.0,5.0,6.4018,-40.8118,-0.6345897583813932
688172.SH,燕东微,20260210,20260211,10:16:00,40.9629,20260212,09:31:00,41.8372,100,SELLBACK,5.0,5.0,4.18372,73.24628,1.7859327187299605
003035.SZ,南网能源,20260210,20260211,13:01:00,6.6823,20260212,09:31:00,6.8487,100,SELLBACK,5.0,5.0,0.68487,5.95513,0.8845609969846856
