date,version,slip,failure,bars,orders,turnover,initial_equity,final_equity,account_gross,hold_gross,excess_gross,final_position,position_gap,short_unclosed,long_unclosed,mom_unclosed,state,cycles,strategy_reported_gross,max_drawdown
20260623,v39,0.01,,241,4,222124.0,211000.0,215648.0,4648.0,3116.000000000008,1532.0,200,0,0,0,0,IDLE,2,1536.0000000000014,0.028006727561630584
20260624,v51,0.0,,241,4,232337.0,211640.0,218707.0,7066.999999999985,4359.999999999991,2707.0,200,0,0,0,0,DONE,2,2706.9999999999936,0.013238251965624448
20260624,v51,0.01,,241,4,232335.0,211640.0,218705.0,7064.999999999985,4359.999999999991,2705.0,200,0,0,0,0,DONE,2,2704.9999999999955,0.01324739440482725
20260624,v39,0.0,,241,3,173576.0,211640.0,217946.0,6305.999999999985,4359.999999999991,1946.0,300,100,0,100,0,BT_SPIKING,1,0.0,0.02860212104589499
20260624,v39,0.01,,241,3,173576.0,211640.0,217944.0,6303.999999999985,4359.999999999991,1944.0,300,100,0,100,0,BT_SPIKING,1,0.0,0.028611263485097793
20260625,v51,0.0,,241,4,233528.0,219600.0,213558.0,-6042.0,-4600.0,-1442.0,200,0,0,0,0,FORCED,2,-1442.0000000000073,0.03533697632058286
20260625,v51,0.01,,241,4,233527.0,219600.0,213555.0,-6045.0,-4600.0,-1445.0,200,0,0,0,0,FORCED,2,-1445.0000000000045,0.03535063752276868
20260625,v39,0.0,,241,4,231043.0,219600.0,216043.0,-3557.0,-4600.0,1043.0,200,0,0,0,0,IDLE,2,1042.999999999995,0.034594717668488206
20260625,v39,0.01,,241,4,231043.0,219600.0,216039.0,-3561.0,-4600.0,1039.0,200,0,0,0,0,IDLE,2,1042.999999999995,0.034603825136611976
20260626,v51,0.0,,241,4,225997.0,213014.0,208135.0,-4879.000000000015,-4414.00000000001,-465.0,200,0,0,0,0,FORCED,2,-464.9999999999977,0.04006347610803973
20260626,v51,0.01,,241,4,225996.0,213014.0,208132.0,-4882.000000000015,-4414.00000000001,-468.0,200,0,0,0,0,FORCED,2,-467.999999999995,0.04007296994178222
20260626,v39,0.0,,241,3,228200.0,213014.0,208800.0,-4214.000000000015,-4414.00000000001,200.0,200,0,0,0,0,BT_DIPPING,1,200.0,0.03696878315742447
20260626,v39,0.01,,241,3,228198.0,213014.0,208798.0,-4216.000000000015,-4414.00000000001,198.0,200,0,0,0,0,BT_DIPPING,1,200.0,0.03697360889414236
20260629,v51,0.0,,241,4,209753.0,208600.0,205357.0,-3243.0,-3179.9999999999955,-63.0,200,0,0,0,0,IDLE,2,-62.999999999999545,0.057448423049561326
20260629,v51,0.01,,241,4,209753.0,208600.0,205353.0,-3247.0,-3179.9999999999955,-67.0,200,0,0,0,0,IDLE,2,-66.99999999999591,0.057462923703693214
20260629,v39,0.0,,241,4,211431.0,208600.0,205099.0,-3501.0,-3179.9999999999955,-321.0,200,0,0,0,0,BT_DIPPING,2,750.0,0.05867204173583118
20260629,v39,0.01,,241,4,211431.0,208600.0,205095.0,-3505.0,-3179.9999999999955,-325.0,200,0,0,0,0,BT_DIPPING,2,750.0,0.058686548193256804
20260630,v51,0.0,,241,4,213029.0,208000.0,209011.0,1011.0,1179.9999999999955,-169.0,200,0,0,0,0,IDLE,2,-169.00000000000546,0.027000395104512243
20260630,v51,0.01,,241,4,213029.0,208000.0,209007.0,1007.0,1179.9999999999955,-173.0,200,0,0,0,0,IDLE,2,-173.00000000000182,0.027005283952968084
20260630,v39,0.0,,241,4,213029.0,208000.0,209011.0,1011.0,1179.9999999999955,-169.0,200,0,0,0,0,IDLE,2,-169.00000000000546,0.027000395104512243
20260630,v39,0.01,,241,4,213029.0,208000.0,209007.0,1007.0,1179.9999999999955,-173.0,200,0,0,0,0,IDLE,2,-169.00000000000546,0.027005283952968084
20260701,v51,0.0,,241,4,212538.0,207000.0,201254.0,-5746.0,-5298.000000000002,-448.0,200,0,0,0,0,IDLE,2,-447.99999999999045,0.04003846153846158
20260701,v51,0.01,,241,4,212537.0,207000.0,201251.0,-5749.0,-5298.000000000002,-451.0,200,0,0,0,0,IDLE,2,-450.9999999999991,0.04005288461538459
20260701,v39,0.0,,241,5,265517.0,207000.0,199126.0,-7874.0,-5298.000000000002,-2576.0,300,100,0,0,0,BT_DIPPING,2,-447.99999999999045,0.05407211538461543
20260701,v39,0.01,,241,5,265517.0,207000.0,199122.0,-7878.0,-5298.000000000002,-2580.0,300,100,0,0,0,BT_DIPPING,2,-447.99999999999045,0.05409134615384614
20260702,v51,0.0,,241,4,190259.0,196002.0,194413.0,-1589.0,-3127.9999999999973,1539.0,200,0,0,0,0,DONE,2,1538.9999999999986,0.03315953598602972
20260702,v51,0.01,,241,4,190259.0,196002.0,194409.0,-1593.0,-3127.9999999999973,1535.0,200,0,0,0,0,DONE,2,1535.0000000000023,0.03316019778366541
20260702,v39,0.0,,241,4,190328.0,196002.0,194482.0,-1520.0,-3127.9999999999973,1608.0,200,0,0,0,0,IDLE,2,1607.9999999999984,0.03314812413339052
