date,open,close,high,low,vol
2024-08-14,23.298,22.928,23.408,22.768,33554.0
2024-08-15,22.878,23.238,23.498,22.578,35385.0
2024-08-16,23.192,22.732,23.452,22.702,32718.0
2024-08-19,22.722,22.782,23.152,22.552,21321.0
2024-08-20,22.892,22.372,22.902,22.262,20931.0
2024-08-21,22.272,22.212,22.492,22.172,10554.0
2024-08-22,22.182,21.722,22.372,21.712,15681.0
2024-08-23,21.842,22.052,22.132,21.712,16520.0
2024-08-26,22.942,22.292,22.942,22.202,24758.0
2024-08-27,22.032,22.082,22.712,21.862,18630.0
2024-08-28,21.842,22.202,22.232,21.842,12599.0
2024-08-29,21.932,22.422,22.532,21.852,19839.0
2024-08-30,22.392,22.732,23.032,22.292,24313.0
2024-09-02,22.592,22.162,22.842,22.132,17697.0
2024-09-03,22.032,22.462,22.482,22.032,12845.0
2024-09-04,22.242,22.522,22.922,22.242,12731.0
2024-09-05,22.512,22.672,22.832,22.482,11907.0
2024-09-06,22.732,22.292,22.732,22.242,14185.0
2024-09-09,22.152,22.142,22.382,22.042,10648.0
2024-09-10,22.152,22.412,22.572,21.912,13166.0
2024-09-11,21.912,22.392,22.532,21.912,8797.0
2024-09-12,22.792,22.282,22.792,22.282,11346.0
2024-09-13,22.342,22.082,22.482,22.032,11394.0
2024-09-18,22.092,22.002,22.252,21.792,11125.0
2024-09-19,22.082,22.292,22.502,21.852,13473.0
2024-09-20,22.332,22.282,22.452,22.152,10428.0
2024-09-23,22.422,22.262,22.622,22.222,14465.0
2024-09-24,22.362,22.832,22.832,22.162,27896.0
2024-09-25,23.032,23.052,23.492,22.982,30274.0
2024-09-26,23.132,23.702,23.702,23.052,31190.0
2024-09-27,23.762,24.612,24.832,23.762,30013.0
2024-09-30,25.692,26.732,26.902,25.162,80853.0
2024-10-08,29.432,29.212,29.432,27.732,107996.0
2024-10-09,28.532,26.642,28.662,26.592,74940.0
2024-10-10,27.722,26.782,27.722,26.562,42166.0
2024-10-11,27.122,25.552,27.122,25.182,38983.0
2024-10-14,25.952,26.082,26.132,25.182,32132.0
2024-10-15,25.992,25.432,26.412,25.422,28040.0
2024-10-16,25.062,25.182,25.632,24.952,23746.0
2024-10-17,25.422,24.972,25.522,24.942,24729.0
2024-10-18,24.832,26.072,26.602,24.792,49406.0
2024-10-21,26.652,26.262,26.962,25.932,48108.0
2024-10-22,26.652,26.632,26.852,26.112,39475.0
2024-10-23,26.612,27.092,27.482,26.392,44565.0
2024-10-24,27.192,27.242,27.482,26.682,37822.0
2024-10-25,28.342,27.762,28.342,27.092,48070.0
2024-10-28,27.622,27.532,27.622,27.292,37895.0
2024-10-29,27.522,27.192,27.632,27.012,34835.0
2024-10-30,27.022,27.142,27.482,26.842,26114.0
2024-10-31,27.052,27.902,28.122,26.982,54679.0
2024-11-01,27.762,26.652,27.762,26.522,58199.0
2024-11-04,27.192,27.642,27.682,26.652,45962.0
2024-11-05,27.582,28.352,28.362,27.432,48394.0
2024-11-06,28.672,28.042,28.692,27.832,44707.0
2024-11-07,28.032,28.212,28.282,27.792,33970.0
2024-11-08,28.362,28.822,29.212,28.282,58750.0
2024-11-11,31.732,30.402,31.732,29.782,171837.0
2024-11-12,29.942,29.312,30.242,29.002,97932.0
2024-11-13,29.232,29.572,29.972,28.912,55925.0
2024-11-14,29.742,28.882,29.962,28.822,44884.0
2024-11-15,28.882,28.182,29.152,28.162,35643.0
2024-11-18,28.362,28.092,28.702,27.892,40384.0
2024-11-19,28.092,28.532,28.602,27.952,33448.0
2024-11-20,28.722,28.462,28.732,28.132,32852.0
2024-11-21,28.552,28.252,28.922,27.992,32524.0
2024-11-22,28.232,27.372,28.462,27.352,39801.0
2024-11-25,27.742,28.432,29.642,27.482,92384.0
2024-11-26,28.192,27.792,28.902,27.762,42932.0
2024-11-27,27.582,28.522,28.522,27.262,36752.0
2024-11-28,28.452,28.032,28.522,27.942,23628.0
2024-11-29,28.052,28.512,28.792,27.942,32056.0
2024-12-02,28.362,28.632,29.072,28.232,33465.0
2024-12-03,28.632,28.432,28.712,28.252,23850.0
2024-12-04,28.422,28.022,28.582,27.862,26343.0
2024-12-05,28.092,27.932,28.232,27.832,25482.0
2024-12-06,27.972,28.092,28.162,27.652,24314.0
2024-12-09,28.032,27.882,28.192,27.592,25646.0
2024-12-10,28.692,27.902,28.692,27.832,29066.0
2024-12-11,27.812,28.022,28.152,27.812,18978.0
2024-12-12,28.042,28.082,28.132,27.772,21245.0
