code,date,direction,shares,price,commission,stamp_tax,pnl
600028.SH,2022-07-25,sell,632300,4.096,647.46,2589.84,-14751.48
002049.SZ,2022-07-25,sell,9000,217.013,488.28,1953.11,31756.54
000651.SZ,2022-07-26,buy,82100,34.164,701.22,0.0,0.0
601857.SH,2022-07-26,buy,535800,5.255,703.94,0.0,0.0
600837.SH,2022-07-26,buy,280200,9.58,671.05,0.0,0.0
000651.SZ,2022-07-27,sell,82100,33.377,685.05,2740.22,-68082.31
601857.SH,2022-07-27,sell,535800,5.205,697.18,2788.73,-30522.38
600837.SH,2022-07-27,sell,280200,9.51,666.21,2664.84,-22690.06
300498.SZ,2022-07-28,sell,61300,22.947,351.66,1406.65,-66549.35
600900.SH,2022-07-28,sell,117200,23.876,699.57,2798.28,-56026.89
002050.SZ,2022-07-29,sell,50700,32.468,411.53,1646.1,323511.41
603986.SH,2022-11-15,buy,15000,102.072,382.77,0.0,0.0
002475.SZ,2022-11-15,buy,43100,34.204,368.55,0.0,0.0
300418.SZ,2022-11-15,buy,143600,14.695,527.54,0.0,0.0
600030.SH,2022-11-15,buy,141900,19.82,703.11,0.0,0.0
600036.SH,2022-11-15,buy,65600,33.313,546.34,0.0,0.0
000333.SZ,2022-11-15,buy,48300,49.119,593.11,0.0,0.0
002475.SZ,2022-11-17,sell,43100,33.217,357.91,1431.64,-44347.35
600030.SH,2022-11-17,sell,141900,19.441,689.65,2758.61,-57265.26
000333.SZ,2022-11-17,sell,48300,47.912,578.54,2314.15,-61192.24
600036.SH,2022-11-18,sell,65600,32.038,525.42,2101.69,-86290.07
300418.SZ,2022-11-21,sell,143600,14.875,534.02,2136.07,23239.67
603986.SH,2022-11-22,sell,15000,100.619,377.32,1509.29,-23676.96
000002.SZ,2022-11-29,buy,88900,18.849,418.92,0.0,0.0
002142.SZ,2022-11-29,buy,49500,32.623,403.7,0.0,0.0
601668.SH,2022-11-29,buy,320900,5.886,472.19,0.0,0.0
000001.SZ,2022-11-29,buy,147700,13.003,480.14,0.0,0.0
600028.SH,2022-11-29,buy,614800,4.494,690.8,0.0,0.0
601398.SH,2022-11-29,buy,639000,4.324,690.81,0.0,0.0
600028.SH,2022-12-14,sell,614800,4.456,684.82,2739.27,-27370.54
000568.SZ,2022-12-14,buy,5000,220.921,276.15,0.0,0.0
601668.SH,2022-12-19,sell,320900,5.524,443.2,1772.8,-118192.47
002304.SZ,2022-12-19,buy,10500,165.966,435.66,0.0,0.0
000002.SZ,2022-12-26,sell,88900,18.352,407.86,1631.46,-46240.4
002142.SZ,2022-12-26,sell,49500,30.649,379.29,1517.14,-99573.29
300413.SZ,2022-12-26,buy,53200,30.691,408.19,0.0,0.0
002415.SZ,2022-12-26,buy,67900,34.955,593.36,0.0,0.0
002415.SZ,2023-01-11,sell,67900,32.857,557.75,2231.0,-145230.05
300274.SZ,2023-01-11,buy,13000,122.082,396.77,0.0,0.0
300413.SZ,2023-01-31,sell,53200,30.45,404.98,1619.91,-14853.54
300418.SZ,2023-01-31,buy,151000,16.436,620.47,0.0,0.0
000001.SZ,2023-02-06,sell,147700,13.986,516.43,2065.73,142608.41
000725.SZ,2023-02-06,buy,411400,4.034,414.9,0.0,0.0
002304.SZ,2023-02-07,sell,10500,169.37,444.6,1778.39,33525.94
002050.SZ,2023-02-07,buy,72600,27.407,497.44,0.0,0.0
000568.SZ,2023-02-08,sell,5000,231.938,289.92,1159.69,53636.04
600900.SH,2023-02-08,buy,85900,21.391,459.38,0.0,0.0
300274.SZ,2023-02-15,sell,13000,116.274,377.89,1511.56,-77398.0
600104.SH,2023-02-15,buy,79700,14.965,298.18,0.0,0.0
300418.SZ,2023-02-17,sell,151000,22.957,866.63,3466.51,980277.46
002555.SZ,2023-02-17,buy,66700,22.382,373.23,0.0,0.0
002050.SZ,2023-02-24,sell,72600,25.544,463.63,1854.53,-137568.33
600025.SH,2023-02-24,buy,404900,7.097,718.4,0.0,0.0
600900.SH,2023-03-08,sell,85900,20.939,449.67,1798.66,-41103.48
601398.SH,2023-03-08,sell,639000,4.396,702.2,2808.79,42036.93
600104.SH,2023-03-08,sell,79700,15.075,300.37,1201.47,7261.97
600025.SH,2023-03-09,sell,404900,7.153,724.05,2896.18,18952.94
002555.SZ,2023-03-10,sell,66700,21.808,363.65,1454.6,-40116.73
000725.SZ,2023-03-10,sell,411400,4.066,418.18,1672.72,11032.76
300418.SZ,2023-04-03,buy,17300,50.701,219.28,0.0,0.0
600030.SH,2023-04-03,buy,136500,21.021,717.34,0.0,0.0
601288.SH,2023-04-03,buy,924800,3.103,717.44,0.0,0.0
600519.SH,2023-04-03,buy,1500,1803.872,676.45,0.0,0.0
600016.SH,2023-04-03,buy,831000,3.453,717.45,0.0,0.0
601166.SH,2023-04-03,buy,125300,16.907,529.61,0.0,0.0
300418.SZ,2023-04-10,sell,17300,41.748,180.56,722.24,-155780.02
688981.SH,2023-04-10,buy,300,60.06,4.5,0.0,0.0
600519.SH,2023-04-12,sell,1500,1692.406,634.65,2538.61,-170372.52
603986.SH,2023-04-12,buy,5100,135.125,172.28,0.0,0.0
600030.SH,2023-04-21,sell,136500,20.789,709.43,2837.72,-35189.22
603986.SH,2023-04-21,sell,5100,126.284,161.01,644.05,-45896.2
601166.SH,2023-04-21,sell,125300,17.093,535.43,2141.74,20628.63
600016.SH,2023-04-24,sell,831000,3.556,738.85,2955.4,81890.44
601288.SH,2023-04-25,sell,924800,3.417,789.91,3159.65,285956.74
688981.SH,2023-04-26,sell,300,58.102,4.36,17.43,-609.24
601857.SH,2023-05-08,buy,207400,8.589,445.32,0.0,0.0
601328.SH,2023-05-08,buy,443300,6.326,701.11,0.0,0.0
601398.SH,2023-05-08,buy,540000,5.305,716.22,0.0,0.0
601318.SH,2023-05-08,buy,38100,54.975,523.64,0.0,0.0
003816.SZ,2023-05-08,buy,856300,3.263,698.58,0.0,0.0
600000.SH,2023-05-08,buy,241300,8.078,487.31,0.0,0.0
601857.SH,2023-05-09,sell,207400,8.082,419.05,1676.19,-107178.59
601328.SH,2023-05-09,sell,443300,6.204,687.54,2750.14,-57755.22
601398.SH,2023-05-09,sell,540000,5.265,710.74,2842.95,-25461.49
601318.SH,2023-05-10,sell,38100,52.258,497.75,1991.02,-106015.24
003816.SZ,2023-05-11,sell,856300,3.227,690.77,2763.08,-34700.24
600000.SH,2023-05-12,sell,241300,7.612,459.22,1836.87,-114667.08
002475.SZ,2023-07-13,buy,47800,34.454,411.73,0.0,0.0
601857.SH,2023-07-13,buy,289600,8.248,597.17,0.0,0.0
300498.SZ,2023-07-13,buy,118700,18.529,549.83,0.0,0.0
601012.SH,2023-07-13,buy,65000,30.701,498.89,0.0,0.0
000725.SZ,2023-07-13,buy,647800,4.284,693.84,0.0,0.0
300124.SZ,2023-07-13,buy,25800,67.718,436.78,0.0,0.0
002475.SZ,2023-07-17,sell,47800,34.026,406.61,1626.44,-22514.39
601857.SH,2023-07-17,sell,289600,8.122,588.02,2352.09,-39536.87
300498.SZ,2023-07-17,sell,118700,18.781,557.33,2229.33,27207.64
601012.SH,2023-07-18,sell,65000,29.471,478.9,1915.58,-82355.53
300124.SZ,2023-07-19,sell,25800,66.943,431.78,1727.13,-22145.14
000725.SZ,2023-07-20,sell,647800,4.226,684.36,2737.45,-41324.6
600809.SH,2023-07-25,buy,9800,225.225,551.8,0.0,0.0
600837.SH,2023-07-25,buy,274900,9.96,684.5,0.0,0.0
600030.SH,2023-07-25,buy,126700,21.602,684.23,0.0,0.0
600031.SH,2023-07-25,buy,154700,17.698,684.46,0.0,0.0
600016.SH,2023-07-25,buy,696100,3.934,684.6,0.0,0.0
600519.SH,2023-07-25,buy,200,1830.379,91.52,0.0,0.0
